 GamesPlayed, GamesWon, GamesLeft, Ditches, Points, Kills, KillsPerMin, Deaths, Assists, CreepsKilled, CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime, SkillLevel,Gender
0.000950872,0.000566893,0,0,0.255217749,0.000505433,0.166666667,0.001059571,0.000726956,0.000475358,0.00070599,0.00032634,0.000768935,0,0.001949659,0,M
0.007606973,0.006235828,0,0,0.229542657,0.004927976,0.238095238,0.01053685,0.008112823,0.005032886,0.003507174,0.003706294,0.005767013,0.005258545,0.015546733,1,F
0.103961965,0.08106576,0.2,0.166666667,0.232993567,0.044688737,0.19047619,0.13380033,0.09558011,0.033828296,0.023206559,0.053892774,0.041138024,0.040315513,0.195424974,1,F
0.0022187,0.001133787,0.025,0,0.15177067,0.000505433,0.095238095,0.003237579,0.002297179,0.000639182,0.001662491,0.000652681,0.000384468,0,0.003528764,0,F
0.027892235,0.026643991,0.025,0,0.279732659,0.014910286,0.238095238,0.036908406,0.029165455,0.011945718,0.012252334,0.017808858,0.018838908,0.007011394,0.050943841,1,F
0.064025357,0.06292517,0.05,0.055555556,0.299047349,0.073498442,0.476190476,0.074640923,0.060046525,0.058885299,0.015235709,0.05951049,0.096501346,0.080631025,0.119334465,1,M
0.00792393,0.005668934,0,0.222222222,0.22272541,0.00539129,0.261904762,0.012538262,0.008781623,0.004173481,0.002801184,0.003170163,0.004229143,0.004382121,0.015239296,0,F
0,0,0,0,0.253794447,0.000379075,0.404761905,0.000529786,0.000232626,0.000427016,2.28E-05,0.00011655,0,0,0.000409449,0,M
0.206973059,0.198979592,0.125,0.166666667,0.421535156,0.205374442,0.404761905,0.222274547,0.183192789,0.176720353,0.136142109,0.308717949,0.206843522,0.256792287,0.398626458,2,F
0.067828843,0.071428571,0.05,0.055555556,0.705588321,0.071476708,0.452380952,0.063574288,0.073160803,0.050747816,0.051719426,0.045011655,0.076509035,0.059596845,0.125553065,3,F
0.001267829,0.000566893,0,0.055555556,0.262589426,0.001052986,0.285714286,0.002236873,0.001163129,0.000762721,0.000318834,2.33E-05,0.001153403,0.001752848,0.002592481,0,M
0.008240887,0.006802721,0.025,0.055555556,0.258229887,0.005012215,0.261904762,0.010360254,0.006600756,0.004049942,0.004053746,0.012610723,0.003460208,0.007011394,0.014666346,1,F
0.003486529,0.003968254,0,0,0.294847561,0.003959228,0.428571429,0.004120556,0.004274498,0.00338659,0.001821908,0.001515152,0.00307574,0.004382121,0.006952488,1,F
0.132805071,0.12244898,0.15,0.611111111,0.314350193,0.08204869,0.261904762,0.147869084,0.119831346,0.072740506,0.048941016,0.171235431,0.097654748,0.091148116,0.249701472,1,F
0.051347068,0.058956916,0.225,0,0.335219021,0.044604498,0.380952381,0.065987756,0.053620238,0.03108626,0.02209064,0.027785548,0.041906959,0.040315513,0.094627759,1,M
0.100475436,0.106575964,0.175,0.111111111,0.301064115,0.094052734,0.404761905,0.096421003,0.095899971,0.071706535,0.044636757,0.167249417,0.087658593,0.095530237,0.181897772,1,M
